rt,stimulus,phase,resp_iscorrect,verif_rt,responses,descr_rt,prime_image_ID,prime_type,prime_verb,sentence,targ_verb,verif_ans
7420,img/S013.jpg,1,True,7420.0,"{""Q0"":""The man is fixing the sink.""}",20500.0,S013.jpg,PC,Clean,the bicycle is being touched by the sailor,Fix,n
12955,img/S105.jpg,1,False,12955.0,"{""Q0"":""One person is pulling another person with a rope.""}",30768.0,S105.jpg,AC,Touch,The sailor is touching the bicycle.,Pull,y
4080,img/F024.jpg,1,True,4080.0,"{""Q0"":""The woman makes the bed.""}",14982.0,F024.jpg,,box,The man is ski down the mountain.,make,n
6638,img/S091.jpg,1,True,6638.0,"{""Q0"":""The soldier is tickling the other man.""}",33601.0,S091.jpg,PI,Slap,the priest is being slap by the policeman,Tickle,y
7149,img/S107.jpg,1,True,7149.0,"{""Q0"":""The girl wears a mask to scare the boy.""}",21331.0,S107.jpg,AI,Touch,The maid is touch the doctor,Scare,n
4366,img/F023.jpg,1,True,4366.0,"{""Q0"":""The toddler crawls across the floor.""}",18072.0,F023.jpg,,cook,The two girls are whisper.,crawl,n
15456,img/S103.jpg,1,False,15456.0,"{""Q0"":""The priest follows the soldier.""}",15809.0,S103.jpg,PI,Touch,The doctor is being touch by the maid,Follow,y
5698,img/S125.jpg,1,True,5698.0,"{""Q0"":""The artist shoots the ballerina.""}",19283.0,S125.jpg,AC,Pay,The man is giving the girl a present.,Shoot,n
4271,img/F012.jpg,1,True,4271.0,"{""Q0"":""The boy is falling off the ladder.""}",12510.0,F012.jpg,,bounce,The boy is bouncing the basketball.,fall,y
4243,img/S122.jpg,1,True,4243.0,"{""Q0"":""The sailor is followed by the pirate.""}",32359.0,S122.jpg,AI,Give,the sailor is touch the swimmer,Follow,n
8426,img/S100.jpg,1,True,8426.0,"{""Q0"":""The garbage man dumps the trash into the truck.""}",22491.0,S100.jpg,PC,Touch,the swimmer is being touched by the sailor,Dump,y
5133,img/F007.jpg,1,True,5133.0,"{""Q0"":""The surgeon operates on a patient.""}",12840.0,F007.jpg,,bounce,The boy is bounce the basketball.,operate,y
4940,img/S090.jpg,1,True,4940.0,"{""Q0"":""The chef shoots the swimmer.""}",13459.0,S090.jpg,PI,Slap,the clown is being slap by the policeman,Shoot,y
3979,img/S016.jpg,1,True,3979.0,"{""Q0"":""The maid tickles the priest.""}",13436.0,S016.jpg,AC,Erase,The sailor is holding the broom.,Tickle,n
6874,img/F003.jpg,1,True,6874.0,"{""Q0"":""The boy hides behind the curtains.""}",16728.0,F003.jpg,,bow,The gentleman is bow to the crowd.,hide,y
3834,img/S027.jpg,1,True,3834.0,"{""Q0"":""The pirate pulls a car.""}",24551.0,S027.jpg,AI,Hold,The sailor is hold the broom,Pull,y
3724,img/S006.jpg,1,True,3724.0,"{""Q0"":""The clown and the priest kiss.""}",13425.0,S006.jpg,PC,Chase,The cat is being chased by the dog,Kiss,n
4857,img/F013.jpg,1,True,4857.0,"{""Q0"":""The man is hitchhiking.""}",16442.0,F013.jpg,,balanace,The acrobat is balancing on the rope.,hitchhike,y
7247,img/S011.jpg,1,True,7247.0,"{""Q0"":""The artist kisses the ballerina.""}",11394.0,S011.jpg,AC,Chase,The man is pushing the car.,Kiss,n
3049,img/S073.jpg,1,True,3049.0,"{""Q0"":""The boy lifts a bucket.""}",12075.0,S073.jpg,PI,Push,the soldier is being slap by the cowboy,Lift,n
3049,img/F022.jpg,1,True,3049.0,"{""Q0"":""The queen knights the man.""}",13315.0,F022.jpg,,golf,The boy is camp in the forest.,knight,n
10640,img/S094.jpg,1,True,10640.0,"{""Q0"":""The mechanic fixes the engine.""}",13147.0,S094.jpg,PC,Slap,the soldier is being slapped by the cowboy,Fix,y
3762,img/S120.jpg,1,True,3762.0,"{""Q0"":""The person scoops ice cream.""}",16264.0,S120.jpg,AI,Throw,The boy is throw a snowball.,Scoop,y
3727,img/F037.jpg,1,True,3727.0,"{""Q0"":""The boys swims in water.""}",9939.0,F037.jpg,,mine,The girl is singing a song.,swim,n
3905,img/S092.jpg,1,True,3905.0,"{""Q0"":""The wrestler and priest kiss.""}",15825.0,S092.jpg,PC,Slap,the swimmer is being slapped by the policeman,Kiss,y
3256,img/S007.jpg,1,True,3256.0,"{""Q0"":""The cop kicks the clown.""}",21491.0,S007.jpg,AI,Chase,The dog is chew the shoe,Kick,n
2211,img/F035.jpg,1,True,2211.0,"{""Q0"":""The girl fishes.""}",15103.0,F035.jpg,,swat,The family is laughing together. ,fish,n
4406,img/S012.jpg,1,True,4406.0,"{""Q0"":""The bird bites the hand.""}",10459.0,S012.jpg,PI,Chew,The priest is being scoldby the policeman,Bite,n
4858,img/S081.jpg,1,True,4858.0,"{""Q0"":""The boy fixes his bike.""}",15818.0,S081.jpg,AC,Scold,The policeman is scolding the priest.,Fix,y
3763,img/F021.jpg,1,True,3763.0,"{""Q0"":""The man smokes a cigarette.""}",11935.0,F021.jpg,,cry,The girl is smile at the camera.,smoke,n
3417,img/S005.jpg,1,True,3417.0,"{""Q0"":""The person carves the tree trunk.""}",16067.0,S005.jpg,AI,Chase,The man is shave the sheep,Carve,n
2785,img/S083.jpg,1,True,2785.0,"{""Q0"":""The boy hits the baseball with the bat.""}",11624.0,S083.jpg,PI,Shave,The sheep is being shave by the man,Hit,y
2385,img/F025.jpg,1,True,2385.0,"{""Q0"":""The dog howls at the moon.""}",10744.0,F025.jpg,,make,The person buckle their shoes.,howl,n
4865,img/S095.jpg,1,True,4865.0,"{""Q0"":""The artist kisses the soldier.""}",14393.0,S095.jpg,PC,Slap,The snake is being touched by the maid,Kiss,n
4943,img/S106.jpg,1,True,4943.0,"{""Q0"":""The cop kicks the boxer.""}",10519.0,S106.jpg,AC,Touch,The maid is touching the snake.,Kick,y
6362,img/F008.jpg,1,True,6362.0,"{""Q0"":""The person knits a scarf.""}",18111.0,F008.jpg,,curtsy,The girl is curtsy.,knit,y
