"rt","correct","stimulus","key_press","phase","verif_ans","trial_type","trial_index","time_elapsed","internal_node_id","resp_iscorrect","verif_response","responses"
"3099","true","img/F01.jpg","89","0","y","categorize-image-asp","9","1177643","0.0-8.0-1.0","true","89",""
"30168","","","","0","","image-text","10","1207814","0.0-8.0-2.0","","","{""Q0"":""The sailor is holding a broom.""}"
"4166","true","img/F03.jpg","89","0","y","categorize-image-asp","13","1227972","0.0-8.0-1.1","true","89",""
"18552","","","","0","","image-text","14","1246526","0.0-8.0-2.1","","","{""Q0"":""The cane is held by the waitress.""}"
"2930","true","img/F05.jpg","89","0","y","categorize-image-asp","17","1262202","0.0-8.0-1.2","true","89",""
"14361","","","","0","","image-text","18","1276565","0.0-8.0-2.2","","","{""Q0"":""A mop is held by the soldier.""}"
"5183","true","img/P06.jpg","89","1","y","categorize-image-asp","21","1299029","0.0-10.0-0.0","true","89",""
"34053","","","","1","","image-text","22","1333085","0.0-10.0-1.0","","","{""Q0"":""The woman brings water to the man.""}"
"2058","true","img/P37.jpg","89","1","y","categorize-image-asp","24","1348161","0.0-10.0-0.1","true","89",""
"19457","","","","1","","image-text","25","1367621","0.0-10.0-1.1","","","{""Q0"":""The nun kisses the ballerina.""}"
"2041","true","img/P01.jpg","89","1","y","categorize-image-asp","27","1382631","0.0-10.0-0.2","true","89",""
"18115","","","","1","","image-text","28","1400748","0.0-10.0-1.2","","","{""Q0"":""The police officer chases the thief.""}"
"2389","false","img/P07.jpg","89","1","n","categorize-image-asp","30","1417790","0.0-10.0-0.3","false","89",""
"23108","","","","1","","image-text","31","1440901","0.0-10.0-1.3","","","{""Q0"":""The nurse is running after the doctor.""}"
"3751","false","img/P27.jpg","89","1","n","categorize-image-asp","33","1457712","0.0-10.0-0.4","false","89",""
"16217","","","","1","","image-text","34","1473933","0.0-10.0-1.4","","","{""Q0"":""The police officer scolds the ballerina.""}"
"3911","false","img/P24.jpg","89","1","n","categorize-image-asp","36","1489842","0.0-10.0-0.5","false","89",""
"20279","","","","1","","image-text","37","1510123","0.0-10.0-1.5","","","{""Q0"":""The sailor playfully touches the clown.""}"
"4183","false","img/P19.jpg","89","1","n","categorize-image-asp","39","1528196","0.0-10.0-0.6","false","89",""
"20260","","","","1","","image-text","40","1548458","0.0-10.0-1.6","","","{""Q0"":""The artist punches the man.""}"
"1786","false","img/P40.jpg","89","1","n","categorize-image-asp","42","1565295","0.0-10.0-0.7","false","89",""
"10506","","","","1","","image-text","43","1575803","0.0-10.0-1.7","","","{""Q0"":""The clown is pulled by the boxer.""}"
"2131","true","img/P22.jpg","89","1","y","categorize-image-asp","45","1590085","0.0-10.0-0.8","true","89",""
"16763","","","","1","","image-text","46","1606850","0.0-10.0-1.8","","","{""Q0"":""The sailor touches the swimmer.""}"
"1195","false","img/P15.jpg","89","1","n","categorize-image-asp","48","1622064","0.0-10.0-0.9","false","89",""
"13632","","","","1","","image-text","49","1635698","0.0-10.0-1.9","","","{""Q0"":""The nun is following the boxer.""}"
"2449","true","img/P33.jpg","89","1","y","categorize-image-asp","51","1648045","0.0-10.0-0.10","true","89",""
"9099","","","","1","","image-text","52","1657146","0.0-10.0-1.10","","","{""Q0"":""The nun kisses the boxer.""}"
"1109","true","img/P45.jpg","89","1","y","categorize-image-asp","54","1672044","0.0-10.0-0.11","true","89",""
"8764","","","","1","","image-text","55","1680810","0.0-10.0-1.11","","","{""Q0"":""The cowboy slaps the sailor.""}"
"2301","true","img/P46.jpg","89","1","y","categorize-image-asp","57","1697284","0.0-10.0-0.12","true","89",""
"15474","","","","1","","image-text","58","1712761","0.0-10.0-1.12","","","{""Q0"":""The doctor is tickled by teh waitress.""}"
"1975","true","img/P21.jpg","89","1","y","categorize-image-asp","60","1725662","0.0-10.0-0.13","true","89",""
"16448","","","","1","","image-text","61","1742114","0.0-10.0-1.13","","","{""Q0"":""The doctor is punched by the cowboy!""}"
"2229","true","img/P25.jpg","89","1","y","categorize-image-asp","63","1755003","0.0-10.0-0.14","true","89",""
"10883","","","","1","","image-text","64","1765889","0.0-10.0-1.14","","","{""Q0"":""The academic scolds the sailor.""}"
"1784","true","img/P13.jpg","89","1","y","categorize-image-asp","66","1780623","0.0-10.0-0.15","true","89",""
"10279","","","","1","","image-text","67","1790904","0.0-10.0-1.15","","","{""Q0"":""The soldier is followed by the nun.""}"
"815","true","img/P12.jpg","89","1","y","categorize-image-asp","69","1806703","0.0-10.0-0.16","true","89",""
"16270","","","","1","","image-text","70","1822977","0.0-10.0-1.16","","","{""Q0"":""The cowboy forcefully pushes the swimmer.""}"
"1364","false","img/P47.jpg","89","1","n","categorize-image-asp","72","1836463","0.0-10.0-0.17","false","89",""
"10703","","","","1","","image-text","73","1847168","0.0-10.0-1.17","","","{""Q0"":""The ballerina is slapped by the cowboy.""}"
"1347","true","img/P28.jpg","89","1","y","categorize-image-asp","75","1860572","0.0-10.0-0.18","true","89",""
"14842","","","","1","","image-text","76","1875416","0.0-10.0-1.18","","","{""Q0"":""Thechef  shoots the boxer!""}"
"1446","false","img/P32.jpg","89","1","n","categorize-image-asp","78","1889052","0.0-10.0-0.19","false","89",""
"11569","","","","1","","image-text","79","1900624","0.0-10.0-1.19","","","{""Q0"":""The chef shoots the swimmer!""}"
"551","true","img/P17.jpg","89","1","y","categorize-image-asp","81","1912562","0.0-10.0-0.20","true","89",""
