rt,stimulus,phase,resp_iscorrect,verif_rt,responses,descr_rt,prime_type,sentence,targ_verb,prime_verb,prime_image_ID,verif_ans
8096,img/S075.jpg,1,True,8096.0,"{""Q0"":""The man is fixing the sink.""}",9528.0,AC,The man is tripping the other man.,Fix,Scold,S075.jpg,n
3787,img/S108.jpg,1,True,3787.0,"{""Q0"":""The pirate is pulling the doctor with a rope.""}",13938.0,PI,The man is being trip by the other man.,Pull,Trip,S108.jpg,y
3752,img/S030.jpg,1,True,3752.0,"{""Q0"":""The soldier tickles the robber.""}",17318.0,AI,The man is give the girl a present.,Tickle,Hold,S030.jpg,n
3370,img/S122.jpg,1,True,3370.0,"{""Q0"":""The woman is scares the boy with the mask.""}",15268.0,PC,The girl is being given a present from the man.,Scare,Give,S122.jpg,y
2394,img/S076.jpg,1,True,2394.0,"{""Q0"":""The nun follows the soldier.""}",9514.0,PI,the soldier is being slap by the cowboy,Follow,Scold,S076.jpg,n
7313,img/S094.jpg,1,True,7313.0,"{""Q0"":""The painter shoots the ballerina""}",10957.0,AI,The maid is touch the snake,Shoot,Slap,S094.jpg,n
4909,img/S106.jpg,1,True,4909.0,"{""Q0"":""The pirate follows the sailor""}",8018.0,AC,The maid is touching the snake.,Follow,Touch,S106.jpg,y
2427,img/S074.jpg,1,True,2427.0,"{""Q0"":""The garbage man dumps garbage into the truck""}",10770.0,PC,The cart is being pushed by the worker,Dump,Push,S074.jpg,y
1482,img/S114.jpg,1,True,1482.0,"{""Q0"":""The chef shoots the swimmer""}",7006.0,AI,The nurse is chase the thief,Shoot,Send,S114.jpg,n
3915,img/S009.jpg,1,True,3915.0,"{""Q0"":""The maid tickles the priest""}",10687.0,PC,The thief is being chased by the nurse,Tickle,Chase,S009.jpg,y
2985,img/S007.jpg,1,True,2985.0,"{""Q0"":""The pirate pulls the car with a rope""}",10400.0,AC,The maid is touching the sailor.,Pull,Chase,S007.jpg,n
4020,img/S102.jpg,1,True,4020.0,"{""Q0"":""The nun and the mime kiss""}",7350.0,PI,The sailor is being touch by the maid,Kiss,Touch,S102.jpg,y
