,prime_image_ID,prime_type,prime_verb,sentence,targ_image_ID,targ_verb,verif_ans
0,S027.jpg,AI,Hold,The maid is hold the cane,S017.jpg,Fix,n
1,S028.jpg,AC,Hold,The cowboy is slapping the sailor.,S055.jpg,Pull,n
2,F026.jpg,,laugh,The grandmother swat at the fly.,F063.jpg,conduct,n
3,S094.jpg,PI,Slap,the soldier is being slap by the cowboy,S099.jpg,Tickle,y
4,S106.jpg,PC,Touch,The snake is being touched by the maid,S113.jpg,Scare,y
5,F030.jpg,,smile,The little boy is crying.,F067.jpg,skate,n
6,S009.jpg,AC,Chase,The nurse is chasing the thief.,S024.jpg,Follow,y
7,S117.jpg,PC,Cut,the swimmer is being slapped by the policeman,S087.jpg,Shoot,n
8,F031.jpg,,camp,The two men are golfing.,F068.jpg,sail,n
9,S092.jpg,AI,Slap,the policeman is slap the swimmer,S023.jpg,Follow,y
10,S108.jpg,PI,Trip,The car is being push by the man,S015.jpg,Dump,n
11,F035.jpg,,swat,The family is laughing together. ,F072.jpg,fish,n
12,S073.jpg,PI,Push,The wrestler is scold by the soldier,S086.jpg,Shoot,n
13,S076.jpg,AC,Scold,The soldier is scolding the wrestler.,S097.jpg,Tickle,y
14,F014.jpg,,row,The boy is rowing his boat. ,F051.jpg,jump,y
15,S119.jpg,PC,Tear,The leaves are being raked by the man.,S057.jpg,Pull,n
16,S116.jpg,AI,Rake,The man is rake the leaves.,S042.jpg,Kiss,y
17,F004.jpg,,clap,The person is clap after cleaning.,F041.jpg,dry,y
18,S109.jpg,PC,Water,The snowball is being thrown by the boy.,S041.jpg,Kiss,n
19,S120.jpg,AC,Throw,The boy is throwing a snowball.,S049.jpg,Lift,y
20,F010.jpg,,hatch,The chick just hatch.,F047.jpg,comb,y
21,S080.jpg,PI,Scold,The doctor is being scold by the professor,S018.jpg,Fix,y
22,S029.jpg,AI,Hold,The chef is push the priest,S123.jpg,Scoop,n
23,F001.jpg,,hammer,The person is hit the nail with the hammer.,F038.jpg,curl,y
24,S067.jpg,PC,Push,The cart is being pushed by the worker,S045.jpg,Kiss,n
25,S074.jpg,AI,Push,The policeman is chase the swimmer,S033.jpg,Kick,n
26,F023.jpg,,cook,The two girls are whisper.,F060.jpg,crawl,n
27,S010.jpg,PI,Chase,The swimmer is being chase by the policeman,S115.jpg,Bite,y
28,S031.jpg,AC,Hold,The soldier is holding the mop.,S019.jpg,Fix,y
29,F017.jpg,,shower,The person is showering. ,F054.jpg,light,y
30,S081.jpg,PC,Scold,The priest is being scolded by the policeman,S126.jpg,Carve,y
31,S075.jpg,AI,Scold,the cowboy is push the wheelchair,S026.jpg,Hit,n
32,F028.jpg,,sing,The workers are mine.,F065.jpg,fence,n
33,S071.jpg,PI,Push,The clothes are being iron by the woman.,S046.jpg,Kiss,n
34,S112.jpg,AC,Iron,The woman is ironing the clothes.,S034.jpg,Kick,y
35,F003.jpg,,bow,The gentleman is bow to the crowd.,F040.jpg,hide,y
36,S095.jpg,AC,Slap,The policeman is slapping the wrestler.,S059.jpg,Pull,n
37,S093.jpg,PI,Slap,the wrestler is being slap by the policeman,S002.jpg,Catch,y
38,F011.jpg,,snow,It is snowing right now.,F048.jpg,iron,y
39,S102.jpg,AI,Touch,The maid is touch the sailor,S037.jpg,Kick,y
40,S077.jpg,PC,Scold,the swimmer is being pushed by the cowboy,S060.jpg,Punch,n
41,F018.jpg,,salute,The soldier is saluting.,F055.jpg,eat,y
42,S070.jpg,PI,Push,The letter is being send by the man.,S035.jpg,Kick,n
43,S114.jpg,AC,Send,The sailor is touching the bicycle.,S039.jpg,Kick,n
44,F009.jpg,,parachute,The man is parachute to the ground.,F046.jpg,drill,y
45,S105.jpg,PC,Touch,the bicycle is being touched by the sailor,S052.jpg,Pull,y
46,S100.jpg,AI,Touch,the sailor is touch the swimmer,S096.jpg,Tickle,y
47,F008.jpg,,curtsy,The girl is curtsy.,F045.jpg,knit,y
48,S090.jpg,PC,Slap,the clown is being slapped by the policeman,S098.jpg,Tickle,y
49,S101.jpg,PI,Touch,the soldier is being slap by the cowboy,S040.jpg,Kick,n
50,F016.jpg,,slip,The man slipped on a banana peel.,F053.jpg,juggle,y
51,S089.jpg,AI,Slap,the cowboy is slap the soldier,S048.jpg,Kiss,y
52,S068.jpg,AC,Push,The policeman is slapping the priest.,S047.jpg,Kiss,n
53,F006.jpg,,play,The girl is play the piano.,F043.jpg,celebrate,y
54,S091.jpg,PI,Slap,the priest is being slap by the policeman,S064.jpg,Punch,y
55,S003.jpg,AC,chase,The policeman is chasing the thief.,S111.jpg,Hang,n
56,F007.jpg,,bounce,The boy is bounce the basketball.,F044.jpg,operate,y
57,S004.jpg,AI,Chase,The woman is clean the window,S061.jpg,Punch,n
58,S013.jpg,PC,Clean,The window is being cleaned by the woman,S110.jpg,Wrap,y
59,F029.jpg,,shock,The girl is crying. ,F066.jpg,bark,n
60,S032.jpg,PC,Hold,The teapot is being held by the sailor,S050.jpg,Pet,y
61,S030.jpg,PI,Hold,The gun is being hold by the soldier,S058.jpg,Pull,y
62,F022.jpg,,golf,The boy is camp in the forest.,F059.jpg,knight,n
63,S083.jpg,AC,Shave,The man is giving the girl a present.,S025.jpg,Follow,n
64,S122.jpg,AI,Give,The dog is chase the cat,S085.jpg,Shoot,n
65,F025.jpg,,make,The person buckle their shoes.,F062.jpg,howl,n
66,S011.jpg,AC,Chase,The teacher is erasing the board.,S065.jpg,Punch,n
67,S016.jpg,PC,Erase,the television is being touched by the sailor,S043.jpg,Kiss,n
68,F024.jpg,,box,The man is ski down the mountain.,F061.jpg,make,n
69,S104.jpg,PI,Touch,the television is being touch by the sailor,S020.jpg,Fix,y
70,S082.jpg,AI,Scold,The professor is scold the sailor,S056.jpg,Pull,y
71,F034.jpg,,buckle,The woman is making the bed.,F071.jpg,kneel,n
72,S124.jpg,PC,Send,The letter is being sent by the man.,S014.jpg,Drag,y
73,S007.jpg,PI,Chase,The doctor is being chase by the nurse,S118.jpg,Squeeze,n
74,F013.jpg,,balanace,The acrobat is balancing on the rope.,F050.jpg,hitchhike,y
75,S006.jpg,AI,Chase,the cowboy is slap the professor,S054.jpg,Pull,n
76,S088.jpg,AC,Slap,The cowboy is slapping the professor.,S066.jpg,Punch,y
77,F021.jpg,,cry,The girl is smile at the camera.,F058.jpg,smoke,n
78,S078.jpg,PC,Scold,The doctor is being scolded by the policeman,S021.jpg,Follow,y
79,S012.jpg,PI,Chew,The computer is being touch by the maid,S084.jpg,Shoot,n
80,F020.jpg,,cry,The boy shock himself.,F057.jpg,miss,n
81,S107.jpg,AI,Touch,The maid is touch the computer,S038.jpg,Kick,y
82,S008.jpg,AC,Chase,The person is pressing the doorbell.,S062.jpg,Punch,n
83,F036.jpg,,mop,The cheerleaders are cheering for the team.,F073.jpg,sleep,n
84,S051.jpg,AC,Press,The pirate is chasing the swimmer.,S063.jpg,Punch,n
85,S005.jpg,PC,Chase,The swimmer is being chased by the pirate,S001.jpg,Carry,y
86,F033.jpg,,ski,The man is boxing.,F070.jpg,light,n
87,S069.jpg,PI,Push,the clown is being push by the chef,S121.jpg,Scoop,y
88,S103.jpg,AI,Touch,The chef is push the bus,S053.jpg,Pull,n
89,F032.jpg,,whisper,The woman is cooking a burger patty.,F069.jpg,raise,n
90,S072.jpg,AC,Push,The chef is pushing the bus.,S022.jpg,Follow,y
91,S125.jpg,PI,Pay,The wrestler is being scold by the professor,S036.jpg,Kick,n
92,F037.jpg,,mine,The girl is singing a song.,F074.jpg,swim,n
93,S079.jpg,AI,Scold,The professor is scold the wrestler,S044.jpg,Kiss,y
94,F027.jpg,,cheer,The woman is mop the floor.,F064.jpg,hammer,n
95,F002.jpg,,beg,The man is beg for money on the street.,F039.jpg,cough,y
96,F015.jpg,,brush,The boy is brushing his teeth.,F052.jpg,sneeze,y
97,F012.jpg,,bounce,The boy is bouncing the basketball.,F049.jpg,fall,y
98,F019.jpg,,dip,The person is dipping the chip in sauce.,F056.jpg,drip,y
99,F005.jpg,,clap,The man is clap after the performance,F042.jpg,write,y
